,YEAR,TEAM,GP,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,ESPN_ID
0,2008,LA,4,3,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,-0.1,29258
1,2009,LA,8,10,0,1,0,0,0,1,0,1,0,0,.100,.100,.100,.200,-0.2,29258
2,2010,LAD,44,108,6,30,5,0,0,16,14,18,0,0,.278,.363,.324,.687,0.3,29258
3,2011,LAD,31,85,8,23,1,1,2,11,14,16,0,1,.271,.392,.376,.768,0.3,29258
4,2012,LAD,133,423,44,114,20,1,13,52,65,107,0,0,.270,.373,.414,.787,3.2,29258
5,2013,LAD,115,390,43,93,17,1,10,52,45,78,0,2,.238,.318,.364,.682,2.3,29258
6,2014,LAD,93,283,21,54,9,0,3,25,53,57,0,0,.191,.323,.254,.577,0.0,29258
7,2015,LAD,63,181,24,43,9,0,7,21,32,38,0,0,.238,.355,.403,.758,1.6,29258
8,2016,LAD,53,139,8,27,5,0,1,13,16,24,1,1,.194,.285,.252,.537,-0.2,29258
9,2016,PHI,11,32,3,10,3,0,1,9,3,7,1,0,.313,.371,.500,.871,0.1,29258
10,2016,Total,64,171,11,37,8,0,2,22,19,31,2,1,.216,.301,.298,.599,-0.1,29258
11,2017,MIA,51,143,17,30,5,0,6,14,12,29,0,0,.210,.298,.371,.669,0.4,29258
12,2018,SD,66,151,19,41,8,0,1,15,26,37,0,0,.272,.378,.344,.722,0.3,29258
0,2017,TEX,7,12,0,1,0,0,0,0,0,7,0,0,.083,.083,.083,.166,-0.3,31050
0,2012,ARI,31,81,8,20,4,1,2,8,9,11,1,2,.247,.315,.395,.710,-0.1,30699
1,2013,ARI,137,443,64,119,28,5,8,38,33,82,12,3,.269,.322,.409,.731,3.5,30699
2,2014,ARI,75,265,41,80,19,6,7,24,19,46,14,3,.302,.353,.498,.851,3.9,30699
3,2015,ARI,157,609,111,192,39,6,20,76,53,89,39,7,.315,.367,.498,.865,7.4,30699
4,2016,ARI,12,41,9,10,0,0,2,4,5,8,4,0,.244,.326,.390,.716,0.5,30699
5,2017,ARI,112,425,73,113,33,6,14,49,35,71,20,6,.266,.330,.471,.801,2.9,30699
6,2018,ARI,113,413,61,106,21,5,21,65,31,100,13,2,.257,.316,.484,.800,2.5,30699
0,2016,HOU,45,122,11,20,3,0,3,8,18,48,0,0,.164,.270,.262,.532,-0.6,33674
1,2017,HOU,2,6,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.2,33674
2,2018,HOU,1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,-0.1,33674
0,2014,PHI,2,5,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0.0,31738
1,2015,PHI,39,137,25,33,11,4,5,22,16,41,6,2,.241,.338,.489,.827,1.7,31738
2,2016,PHI,57,198,23,40,6,0,4,23,23,69,7,2,.202,.304,.293,.597,-0.2,31738
3,2017,PHI,107,372,58,101,24,5,19,65,32,104,5,4,.272,.340,.516,.856,1.7,31738
4,2018,PHI,105,243,28,44,11,1,8,38,36,91,3,2,.181,.295,.333,.628,-0.8,31738
0,2008,OAK,22,80,7,20,7,1,1,14,6,24,2,0,.250,.310,.400,.710,0.4,28969
1,2009,OAK,23,53,6,8,2,0,1,6,3,16,0,0,.151,.211,.245,.456,-0.5,28969
2,2010,SD,53,132,17,38,12,1,1,15,7,28,1,3,.288,.331,.417,.748,0.1,28969
3,2011,SD,52,90,12,16,6,1,3,9,9,17,1,0,.178,.257,.367,.624,0.1,28969
4,2012,CLE,72,97,5,17,4,0,1,7,9,25,0,3,.175,.245,.247,.492,-0.5,28969
0,2013,MIN,81,281,37,54,11,3,8,27,24,84,9,3,.192,.259,.338,.597,0.7,31253
1,2014,MIN,69,186,22,40,8,0,1,18,36,56,4,3,.215,.341,.274,.615,0.2,31253
2,2015,MIN,97,352,48,90,11,3,11,33,34,66,13,3,.256,.323,.398,.721,1.3,31253
3,2016,NYY,123,327,32,71,13,1,8,31,30,68,3,4,.217,.281,.336,.617,-0.3,31253
4,2017,NYY,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847,3.9,31253
5,2018,NYY,137,480,90,119,18,3,27,79,90,111,11,2,.248,.366,.467,.833,4.7,31253
0,2005,TOR,105,361,49,99,25,3,3,40,34,41,2,1,.274,.342,.385,.727,1.3,6190
1,2006,TOR,155,546,70,159,28,3,6,50,42,66,5,2,.291,.349,.386,.735,3.6,6190
2,2007,TOR,160,608,87,177,47,2,17,78,41,102,4,3,.291,.333,.459,.792,4.8,6190
3,2008,TOR,55,205,19,54,14,0,2,20,16,31,4,2,.263,.324,.361,.685,0.4,6190
4,2009,TOR,158,682,103,195,37,0,36,108,42,98,6,2,.286,.330,.499,.829,5.6,6190
5,2010,TOR,138,528,70,108,22,0,26,68,41,85,2,2,.205,.271,.394,.665,0.6,6190
6,2011,TOR,104,396,38,89,15,1,6,45,23,53,16,3,.225,.270,.313,.583,-1.0,6190
7,2011,ARI,33,124,23,39,12,2,2,16,12,19,5,4,.315,.386,.492,.878,1.5,6190
8,2011,Total,137,520,61,128,27,3,8,61,35,72,21,7,.246,.299,.356,.655,0.5,6190
9,2012,ARI,156,609,93,184,44,6,26,85,52,86,14,5,.302,.360,.522,.882,4.6,6190
10,2013,ARI,87,327,45,95,21,1,11,41,29,48,1,4,.291,.356,.462,.818,1.1,6190
11,2014,ARI,133,501,52,122,26,3,10,60,28,92,4,3,.244,.287,.367,.654,-1.2,6190
12,2015,ARI,116,313,32,72,18,0,6,39,31,54,7,2,.230,.295,.345,.640,-0.3,6190
13,2016,BOS,47,124,14,27,3,0,2,9,11,16,0,0,.218,.287,.290,.577,-0.4,6190
14,2016,MIL,78,254,34,72,11,0,8,29,30,43,4,2,.283,.359,.421,.780,1.6,6190
15,2016,Total,125,378,48,99,14,0,10,38,41,59,4,2,.262,.336,.378,.714,1.3,6190
16,2017,SF,34,68,7,9,2,1,1,7,11,13,0,0,.132,.250,.235,.485,-0.9,6190
0,2016,NYY,27,84,10,15,2,0,4,10,9,42,0,1,.179,.263,.345,.608,-0.4,33192
1,2017,NYY,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049,8.1,33192
2,2018,NYY,112,413,77,115,22,0,27,67,76,152,6,3,.278,.392,.528,.920,5.5,33192
0,2018,SF,6,11,1,3,0,0,0,0,0,3,0,0,.273,.273,.273,.546,0.1,35188
0,2013,SEA,25,72,10,19,4,0,2,9,6,21,1,0,.264,.313,.403,.716,0.2,31474
1,2014,SEA,27,106,10,21,5,1,1,8,6,40,3,1,.198,.248,.292,.540,0.2,31474
2,2014,SD,32,98,9,26,5,0,2,7,6,20,1,2,.265,.305,.378,.683,0.6,31474
3,2014,Total,59,204,19,47,10,1,3,15,12,60,4,3,.230,.275,.333,.608,0.7,31474
4,2015,CLE,51,178,30,47,9,5,5,20,16,33,6,0,.264,.321,.455,.776,1.1,31474
5,2015,SD,31,54,6,11,3,0,0,4,5,19,1,1,.204,.271,.259,.530,-0.2,31474
6,2015,Total,82,232,36,58,12,5,5,24,21,52,7,1,.250,.310,.409,.719,0.9,31474
7,2016,CLE,67,182,24,48,20,1,1,22,8,42,8,0,.264,.294,.401,.695,0.7,31474
8,2017,CLE,69,172,26,40,8,3,3,14,20,46,2,1,.233,.314,.366,.680,-0.0,31474
9,2018,KC,50,134,15,24,1,2,3,9,15,36,2,2,.179,.260,.284,.544,-0.6,31474
0,2014,SF,28,73,8,14,2,0,3,5,3,20,0,0,.192,.234,.342,.576,-0.0,32664
1,2015,CIN,27,64,6,14,2,0,5,9,6,26,0,0,.219,.306,.484,.790,0.1,32664
2,2016,CIN,150,552,85,133,31,6,33,103,41,164,6,5,.241,.297,.498,.795,3.2,32664
3,2017,CIN,157,587,78,146,37,3,31,99,39,170,5,3,.249,.301,.480,.781,1.8,32664
4,2018,ATL,33,53,8,7,1,0,0,0,3,17,0,0,.132,.193,.151,.344,-0.5,32664
5,2018,CIN,105,331,40,68,19,0,15,61,34,100,2,2,.205,.286,.399,.685,1.4,32664
6,2018,Total,138,384,48,75,20,0,15,61,37,117,2,2,.195,.274,.365,.639,0.9,32664
0,2012,ARI,22,85,19,22,3,2,2,5,14,15,2,3,.259,.382,.412,.794,0.8,32068
1,2013,ARI,66,250,40,63,10,4,3,22,17,44,5,2,.252,.314,.360,.674,-0.0,32068
2,2014,CHW,123,486,76,146,26,10,1,35,43,83,15,9,.300,.362,.401,.763,5.2,32068
3,2015,CHW,153,610,98,175,28,9,14,56,58,131,18,8,.287,.361,.431,.792,3.9,32068
4,2016,CHW,157,619,91,176,29,9,14,59,63,115,14,5,.284,.362,.428,.790,6.2,32068
